Time: 2023-05-14 20:39:59   ||  Emotion: Surprise
Time: 2023-05-14 20:40:00   ||  Emotion: Fear
Time: 2023-05-14 20:40:00   ||  Emotion: Fear
Time: 2023-05-14 20:40:00   ||  Emotion: Fear
Time: 2023-05-14 20:40:00   ||  Emotion: Fear
Time: 2023-05-14 20:40:00   ||  Emotion: Fear
Time: 2023-05-14 20:40:00   ||  Emotion: Fear
Time: 2023-05-14 20:40:00   ||  Emotion: Neutral
Time: 2023-05-14 20:40:01   ||  Emotion: Fear
Time: 2023-05-14 20:40:01   ||  Emotion: Fear
Time: 2023-05-14 20:40:01   ||  Emotion: Neutral
Time: 2023-05-14 20:40:01   ||  Emotion: Fear
Time: 2023-05-14 20:40:01   ||  Emotion: Happy
Time: 2023-05-14 20:40:02   ||  Emotion: Happy
Time: 2023-05-14 20:40:02   ||  Emotion: Happy
Time: 2023-05-14 20:40:02   ||  Emotion: Happy
Time: 2023-05-14 20:40:02   ||  Emotion: Happy
Time: 2023-05-14 20:40:02   ||  Emotion: Happy
Time: 2023-05-14 20:40:02   ||  Emotion: Happy
Time: 2023-05-14 20:40:03   ||  Emotion: Happy
Time: 2023-05-14 20:40:03   ||  Emotion: Happy
Time: 2023-05-14 20:40:03   ||  Emotion: Fear
Time: 2023-05-14 20:40:03   ||  Emotion: Fear
Time: 2023-05-14 20:40:03   ||  Emotion: Fear
Time: 2023-05-14 20:40:04   ||  Emotion: Fear
Time: 2023-05-14 20:40:04   ||  Emotion: Surprise
Time: 2023-05-14 20:40:04   ||  Emotion: Surprise
Time: 2023-05-14 20:40:04   ||  Emotion: Surprise
Time: 2023-05-14 20:40:04   ||  Emotion: Surprise
Time: 2023-05-14 20:40:05   ||  Emotion: Fear
Time: 2023-05-14 20:40:05   ||  Emotion: Fear
Time: 2023-05-14 20:40:05   ||  Emotion: Fear
Time: 2023-05-14 20:40:05   ||  Emotion: Fear
Time: 2023-05-14 20:40:05   ||  Emotion: Fear
Time: 2023-05-14 20:40:05   ||  Emotion: Fear
Time: 2023-05-14 20:40:06   ||  Emotion: Fear
Time: 2023-05-14 20:40:06   ||  Emotion: Fear
Time: 2023-05-14 20:40:06   ||  Emotion: Fear
Time: 2023-05-14 20:40:06   ||  Emotion: Fear
Time: 2023-05-14 20:40:06   ||  Emotion: Fear
Time: 2023-05-14 20:40:07   ||  Emotion: Fear
Time: 2023-05-14 20:40:07   ||  Emotion: Surprise
Time: 2023-05-14 20:40:07   ||  Emotion: Fear
Time: 2023-05-14 20:40:07   ||  Emotion: Surprise
Time: 2023-05-14 20:40:07   ||  Emotion: Fear
Time: 2023-05-14 20:40:08   ||  Emotion: Fear
Time: 2023-05-14 20:40:08   ||  Emotion: Surprise
Time: 2023-05-14 20:40:08   ||  Emotion: Fear
Time: 2023-05-14 20:40:08   ||  Emotion: Fear
Time: 2023-05-14 20:40:08   ||  Emotion: Fear
Time: 2023-05-14 20:40:09   ||  Emotion: Fear
Time: 2023-05-14 20:40:09   ||  Emotion: Fear
Time: 2023-05-14 20:40:09   ||  Emotion: Fear
Time: 2023-05-14 20:40:09   ||  Emotion: Fear
Time: 2023-05-14 20:40:09   ||  Emotion: Surprise
Time: 2023-05-14 20:40:09   ||  Emotion: Fear
Time: 2023-05-14 20:40:10   ||  Emotion: Fear
Time: 2023-05-14 20:40:10   ||  Emotion: Fear
Time: 2023-05-14 20:40:10   ||  Emotion: Fear
Time: 2023-05-14 20:40:10   ||  Emotion: Fear
Time: 2023-05-14 20:53:25   ||  Emotion: Fear
Time: 2023-05-14 20:53:25   ||  Emotion: Fear
Time: 2023-05-14 20:53:25   ||  Emotion: Fear
Time: 2023-05-14 20:53:25   ||  Emotion: Fear
Time: 2023-05-14 20:53:26   ||  Emotion: Fear
Time: 2023-05-14 20:53:26   ||  Emotion: Fear
Time: 2023-05-14 20:53:26   ||  Emotion: Fear
Time: 2023-05-14 20:53:26   ||  Emotion: Fear
Time: 2023-05-14 20:53:26   ||  Emotion: Fear
Time: 2023-05-14 20:53:26   ||  Emotion: Neutral
Time: 2023-05-14 20:53:26   ||  Emotion: Neutral
Time: 2023-05-14 20:53:27   ||  Emotion: Neutral
Time: 2023-05-14 20:53:27   ||  Emotion: Neutral
Time: 2023-05-14 20:53:27   ||  Emotion: Neutral
Time: 2023-05-14 20:53:27   ||  Emotion: Happy
Time: 2023-05-14 20:53:27   ||  Emotion: Fear
Time: 2023-05-14 20:53:27   ||  Emotion: Neutral
Time: 2023-05-14 20:53:28   ||  Emotion: Neutral
Time: 2023-05-14 20:53:28   ||  Emotion: Neutral
Time: 2023-05-14 20:53:28   ||  Emotion: Surprise
Time: 2023-05-14 20:53:28   ||  Emotion: Neutral
Time: 2023-05-14 20:53:28   ||  Emotion: Fear
